match_id,team1,team2,season,date,match_number,venueID,toss_winner,toss_decision,player_of_match,umpire1,umpire2,reserve_umpire,tv_umpire,match_referee,winner,win_by,winner_type,method,outcome,eliminator
734033,Kings XI Punjab,Rajasthan Royals,2014,2014-05-23,52,V001,Rajasthan Royals,field,SE Marsh,HDPK Dharmasena,PG Pathak,UV Gandhe,VA Kulkarni,RS Mahanama,Kings XI Punjab,16,runs,,,
829735,Rajasthan Royals,Chennai Super Kings,2015,2015-04-19,15,V002,Chennai Super Kings,bat,AM Rahane,AK Chaudhary,M Erasmus,K Srinivasan,K Srinath,Chinmay Sharma,Rajasthan Royals,8,wickets,,,
829749,Rajasthan Royals,Royal Challengers Bangalore,2015,2015-04-24,22,V002,Royal Challengers Bangalore,field,MA Starc,M Erasmus,S Ravi,K Srinath,AK Chaudhary,Chinmay Sharma,Royal Challengers Bangalore,9,wickets,,,
829713,Kolkata Knight Riders,Royal Challengers Bangalore,2015,2015-04-11,5,V025,Royal Challengers Bangalore,field,CH Gayle,S Ravi,C Shamshuddin,VK Sharma,PG Pathak,J Srinath,Royal Challengers Bangalore,3,wickets,,,
829705,Kolkata Knight Riders,Mumbai Indians,2015,2015-04-08,1,V025,Kolkata Knight Riders,field,M Morkel,S Ravi,C Shamshuddin,VK Sharma,PG Pathak,J Srinath,Kolkata Knight Riders,7,wickets,,,
734043,Kings XI Punjab,Kolkata Knight Riders,2014,2014-05-27,,V025,Kings XI Punjab,field,UT Yadav,NJ Llong,S Ravi,CK Nandan,C Shamshuddin,RS Mahanama,Kolkata Knight Riders,28,runs,,,
829745,Royal Challengers Bangalore,Chennai Super Kings,2015,2015-04-22,20,V003,Royal Challengers Bangalore,field,SK Raina,JD Cloete,C Shamshuddin,VK Sharma,PG Pathak,J Srinath,Chennai Super Kings,27,runs,,,
829743,Sunrisers Hyderabad,Kolkata Knight Riders,2015,2015-04-22,19,V004,Kolkata Knight Riders,field,DA Warner,RK Illingworth,VA Kulkarni,K Bharatan,RM Deshpande,M Nayyar,Sunrisers Hyderabad,16,runs,D/L,,
734035,Royal Challengers Bangalore,Chennai Super Kings,2014,2014-05-24,53,V003,Chennai Super Kings,field,MS Dhoni,AK Chaudhary,NJ Llong,A Nand Kishore,CK Nandan,RS Madugalle,Chennai Super Kings,8,wickets,,,
829737,Royal Challengers Bangalore,Mumbai Indians,2015,2015-04-19,16,V003,Royal Challengers Bangalore,field,Harbhajan Singh,RK Illingworth,VA Kulkarni,K Bharatan,RM Deshpande,J Srinath,Mumbai Indians,18,runs,,,
734045,Chennai Super Kings,Mumbai Indians,2014,2014-05-28,,V024,Chennai Super Kings,field,SK Raina,VA Kulkarni,BNJ Oxenford,RM Deshpande,RJ Tucker,AJ Pycroft,Chennai Super Kings,7,wickets,,,
829741,Rajasthan Royals,Kings XI Punjab,2015,2015-04-21,18,V002,Kings XI Punjab,field,SE Marsh,M Erasmus,S Ravi,K Srinath,AK Chaudhary,Chinmay Sharma,,,,,tie,Kings XI Punjab
734031,Mumbai Indians,Delhi Daredevils,2014,2014-05-23,51,V016,Delhi Daredevils,field,MEK Hussey,S Ravi,RJ Tucker,AY Dandekar,K Srinath,AJ Pycroft,Mumbai Indians,15,runs,,,
734023,Kolkata Knight Riders,Chennai Super Kings,2014,2014-05-20,47,V025,Kolkata Knight Riders,field,RV Uthappa,RM Deshpande,C Shamshuddin,Nitin Menon,BNJ Oxenford,J Srinath,Kolkata Knight Riders,8,wickets,,,
734049,Kolkata Knight Riders,Kings XI Punjab,2014,2014-06-01,,V003,Kolkata Knight Riders,field,MK Pandey,HDPK Dharmasena,BNJ Oxenford,CK Nandan,S Ravi,RS Mahanama,Kolkata Knight Riders,3,wickets,,,
829707,Chennai Super Kings,Delhi Daredevils,2015,2015-04-09,2,V017,Delhi Daredevils,field,A Nehra,RK Illingworth,VA Kulkarni,K Bharatan,RM Deshpande,M Nayyar,Chennai Super Kings,1,runs,,,
734025,Kings XI Punjab,Mumbai Indians,2014,2014-05-21,48,V001,Mumbai Indians,field,LMP Simmons,HDPK Dharmasena,VA Kulkarni,UV Gandhe,PG Pathak,RS Mahanama,Mumbai Indians,7,wickets,,,
734021,Sunrisers Hyderabad,Royal Challengers Bangalore,2014,2014-05-20,46,V014,Royal Challengers Bangalore,bat,DA Warner,AK Chaudhary,NJ Llong,A Nand Kishore,CK Nandan,RS Madugalle,Sunrisers Hyderabad,7,wickets,,,
734027,Kolkata Knight Riders,Royal Challengers Bangalore,2014,2014-05-22,49,V025,Royal Challengers Bangalore,field,RV Uthappa,AK Chaudhary,CK Nandan,Nitin Menon,NJ Llong,RS Madugalle,Kolkata Knight Riders,30,runs,,,
829709,Kings XI Punjab,Rajasthan Royals,2015,2015-04-10,3,V023,Kings XI Punjab,field,JP Faulkner,SD Fry,CB Gaffaney,CK Nandan,K Srinath,GF Labrooy,Rajasthan Royals,26,runs,,,
734041,Mumbai Indians,Rajasthan Royals,2014,2014-05-25,56,V016,Mumbai Indians,field,CJ Anderson,K Srinath,RJ Tucker,R Pandit,S Ravi,AJ Pycroft,Mumbai Indians,5,wickets,,,
829751,Mumbai Indians,Sunrisers Hyderabad,2015,2015-04-25,23,V016,Mumbai Indians,bat,SL Malinga,HDPK Dharmasena,CB Gaffaney,CK Nandan,SD Fry,RS Mahanama,Mumbai Indians,20,runs,,,
829775,Kings XI Punjab,Mumbai Indians,2015,2015-05-03,35,V001,Mumbai Indians,bat,LMP Simmons,RK Illingworth,VA Kulkarni,RM Deshpande,S Ravi,RS Madugalle,Mumbai Indians,23,runs,,,
829787,Rajasthan Royals,Sunrisers Hyderabad,2015,2015-05-07,41,V024,Rajasthan Royals,field,EJG Morgan,JD Cloete,C Shamshuddin,PG Pathak,HDPK Dharmasena,J Srinath,Sunrisers Hyderabad,7,runs,,,
829759,Kings XI Punjab,Sunrisers Hyderabad,2015,2015-04-27,27,V001,Kings XI Punjab,field,TA Boult,HDPK Dharmasena,CB Gaffaney,CK Nandan,SD Fry,RS Mahanama,Sunrisers Hyderabad,20,runs,,,
829769,Mumbai Indians,Rajasthan Royals,2015,2015-05-01,32,V016,Rajasthan Royals,field,AT Rayudu,HDPK Dharmasena,CK Nandan,Nitin Menon,CB Gaffaney,RS Mahanama,Mumbai Indians,8,runs,,,
829757,Delhi Daredevils,Royal Challengers Bangalore,2015,2015-04-26,26,V005,Royal Challengers Bangalore,field,VR Aaron,M Erasmus,S Ravi,K Srinath,AK Chaudhary,GF Labrooy,Royal Challengers Bangalore,10,wickets,,,
829729,Mumbai Indians,Chennai Super Kings,2015,2015-04-17,12,V016,Mumbai Indians,bat,A Nehra,AK Chaudhary,M Erasmus,K Srinivasan,K Srinath,Chinmay Sharma,Chennai Super Kings,6,wickets,,,
829715,Delhi Daredevils,Rajasthan Royals,2015,2015-04-12,6,V005,Rajasthan Royals,field,DJ Hooda,SD Fry,CB Gaffaney,Nitin Menon,CK Nandan,GF Labrooy,Rajasthan Royals,3,wickets,,,
829721,Rajasthan Royals,Mumbai Indians,2015,2015-04-14,9,V002,Mumbai Indians,bat,SPD Smith,AK Chaudhary,SD Fry,A Nand Kishore,K Srinivasan,Chinmay Sharma,Rajasthan Royals,7,wickets,,,
829779,Chennai Super Kings,Royal Challengers Bangalore,2015,2015-05-04,37,V017,Chennai Super Kings,bat,SK Raina,C Shamshuddin,K Srinath,PG Pathak,JD Cloete,J Srinath,Chennai Super Kings,24,runs,,,
829783,Mumbai Indians,Delhi Daredevils,2015,2015-05-05,39,V016,Delhi Daredevils,bat,Harbhajan Singh,HDPK Dharmasena,CB Gaffaney,Nitin Menon,CK Nandan,RS Mahanama,Mumbai Indians,5,wickets,,,
829781,Kolkata Knight Riders,Sunrisers Hyderabad,2015,2015-05-04,38,V025,Sunrisers Hyderabad,field,UT Yadav,AK Chaudhary,M Erasmus,A Nand Kishore,K Srinivasan,RR Jadeja,Kolkata Knight Riders,35,runs,,,
829785,Royal Challengers Bangalore,Kings XI Punjab,2015,2015-05-06,40,V003,Kings XI Punjab,field,CH Gayle,RK Illingworth,VA Kulkarni,RM Deshpande,S Ravi,RS Madugalle,Royal Challengers Bangalore,138,runs,,,
829723,Kolkata Knight Riders,Chennai Super Kings,2015,2015-04-30,30,V025,Kolkata Knight Riders,field,AD Russell,AK Chaudhary,M Erasmus,A Nand Kishore,RM Deshpande,RR Jadeja,Kolkata Knight Riders,7,wickets,,,
829777,Rajasthan Royals,Delhi Daredevils,2015,2015-05-03,36,V024,Delhi Daredevils,field,AM Rahane,HDPK Dharmasena,CB Gaffaney,,CK Nandan,RS Mahanama,Rajasthan Royals,14,runs,,,
829771,Royal Challengers Bangalore,Kolkata Knight Riders,2015,2015-05-02,33,V003,Royal Challengers Bangalore,field,Mandeep Singh,JD Cloete,PG Pathak,VK Sharma,C Shamshuddin,J Srinath,Royal Challengers Bangalore,7,wickets,,,
829767,Delhi Daredevils,Kings XI Punjab,2015,2015-05-01,31,V005,Delhi Daredevils,field,NM Coulter-Nile,RK Illingworth,S Ravi,K Bharatan,VA Kulkarni,RS Madugalle,Delhi Daredevils,9,wickets,,,
829763,Royal Challengers Bangalore,Rajasthan Royals,2015,2015-04-29,29,V003,Rajasthan Royals,field,,JD Cloete,PG Pathak,VK Sharma,C Shamshuddin,RS Madugalle,,,,,no result,
829761,Kolkata Knight Riders,Delhi Daredevils,2015,2015-05-07,42,V025,Kolkata Knight Riders,bat,PP Chawla,AK Chaudhary,M Erasmus,A Nand Kishore,K Srinivasan,RS Mahanama,Kolkata Knight Riders,13,runs,,,
829753,Chennai Super Kings,Kings XI Punjab,2015,2015-04-25,24,V017,Chennai Super Kings,bat,BB McCullum,JD Cloete,C Shamshuddin,VK Sharma,PG Pathak,J Srinath,Chennai Super Kings,97,runs,,,
829727,Sunrisers Hyderabad,Rajasthan Royals,2015,2015-04-16,11,V004,Rajasthan Royals,field,AM Rahane,PG Pathak,S Ravi,VK Sharma,C Shamshuddin,M Nayyar,Rajasthan Royals,6,wickets,,,
829717,Mumbai Indians,Kings XI Punjab,2015,2015-04-12,7,V016,Mumbai Indians,field,GJ Bailey,AK Chaudhary,K Srinivasan,A Nand Kishore,K Srinath,Chinmay Sharma,Kings XI Punjab,18,runs,,,
829719,Royal Challengers Bangalore,Sunrisers Hyderabad,2015,2015-04-13,8,V003,Sunrisers Hyderabad,field,DA Warner,RM Deshpande,RK Illingworth,K Bharatan,VA Kulkarni,M Nayyar,Sunrisers Hyderabad,8,wickets,,,
